compute_0001	compute_0002	compute_0003	compute_0004	compute_0005	compute_0006	compute_0007	compute_0008	compute_0009	compute_0010	compute_0011
07345	AC013	Estadística	2017	12	8	4		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC013	Estadística	2017	6	1	5		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC013	Estadística	2018	6	1	4		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC013	Estadística	2018	11	5	6		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC013	Estadística	2019	20	10	8		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC013	Estadística	2019	7	5	2		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC013	Estadística	2020	17	5	8		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC013	Estadística	2020	9	1	6		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC013	Estadística	2021	12	2	10		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC013	Estadística	2021	8	1	5		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC013	Estadística	2022	2	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC013	Estadística	2022	19	6	13		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC013	Estadística	2023	7				07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC013	Estadística	2023	8		3		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
