compute_0001	compute_0002	compute_0003	compute_0004	compute_0005	compute_0006	compute_0007	compute_0008	compute_0009	compute_0010	compute_0011
07345	AC014	Química Analítica I	2017	7	2	3		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC014	Química Analítica I	2017	1	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC014	Química Analítica I	2018	15	10	3		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC014	Química Analítica I	2018	2	1	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC014	Química Analítica I	2019	7	5	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC014	Química Analítica I	2019	1	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC014	Química Analítica I	2020	9	5	4		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC014	Química Analítica I	2020	6	5	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC014	Química Analítica I	2021	6	5			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC014	Química Analítica I	2021	5	2	3		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC014	Química Analítica I	2022	12	8	3		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC014	Química Analítica I	2022	1		1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC014	Química Analítica I	2023	7	6	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC014	Química Analítica I	2023	2	2			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
