compute_0001	compute_0002	compute_0003	compute_0004	compute_0005	compute_0006	compute_0007	compute_0008	compute_0009	compute_0010	compute_0011
07345	AC015	Fisicoquímica II	2017	6	2	2		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC015	Fisicoquímica II	2018	15	6	7		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC015	Fisicoquímica II	2018	1		1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC015	Fisicoquímica II	2019	7	5	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC015	Fisicoquímica II	2019	6	3	3		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC015	Fisicoquímica II	2020	7	5	2		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC015	Fisicoquímica II	2020	7	5	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC015	Fisicoquímica II	2021	7	7			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC015	Fisicoquímica II	2021	10	9	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC015	Fisicoquímica II	2022	11	7	4		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC015	Fisicoquímica II	2022	1	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC015	Fisicoquímica II	2023	6	5			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC015	Fisicoquímica II	2023	1	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
