compute_0001	compute_0002	compute_0003	compute_0004	compute_0005	compute_0006	compute_0007	compute_0008	compute_0009	compute_0010	compute_0011
07345	AC016	Química Analítica II	2017	3	2	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC016	Química Analítica II	2017	1	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC016	Química Analítica II	2018	14	7	5		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC016	Química Analítica II	2019	6	6			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC016	Química Analítica II	2019	3	3			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC016	Química Analítica II	2020	8	5			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC016	Química Analítica II	2021	9	7	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC016	Química Analítica II	2022	9	5	3		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC016	Química Analítica II	2022	1	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC016	Química Analítica II	2023	10				07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC016	Química Analítica II	2023	2				07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
