compute_0001	compute_0002	compute_0003	compute_0004	compute_0005	compute_0006	compute_0007	compute_0008	compute_0009	compute_0010	compute_0011
07345	AC021	Taller de Idioma	2017	13	9	4		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC021	Taller de Idioma	2017	5	4	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC021	Taller de Idioma	2018	12	2	9		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC021	Taller de Idioma	2018	4	2	2		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC021	Taller de Idioma	2019	16	5	10		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC021	Taller de Idioma	2019	9	2	5		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC021	Taller de Idioma	2020	16	9	4		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC021	Taller de Idioma	2020	9	6	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC021	Taller de Idioma	2021	19	8	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC021	Taller de Idioma	2021	3	1	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC021	Taller de Idioma	2022	13	2	5		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC021	Taller de Idioma	2022	1	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	AC021	Taller de Idioma	2023	2				07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	AC021	Taller de Idioma	2023	3	1	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
